ano,id_municipio,quantidade_vinculos_ativos,cnae_2,cep
2023,4314902,46,73114,90480001
2023,4314902,24,73114,90035073
2023,4314902,17,82199,90540150
2023,4314902,34,82202,90020004
2023,4314902,42,82202,90020100
2023,4314902,15,82300,91030340
2023,4314902,28,74901,91712050
2023,4314902,92,82911,90620250
2023,4314902,20,82300,91530001
2023,4314902,13,82113,90020023
2023,4314902,89,82997,90480000
2023,4314902,99,82113,90460210
2023,4314902,272,82202,90245000
2023,4314902,28,82911,90470430
2023,4314902,326,82911,90240004
2023,4314902,16,82911,90020022
2023,4314902,18,82997,91330001
2023,4314902,13,82199,90230240
2023,4314902,148,82113,90240040
2023,4314902,3355,82113,91060900
2023,4314902,459,82113,91140468
2023,4314902,24,82113,90110000
2023,4314902,30,74901,90810180
2023,4314902,22,82202,90160091
2023,4314902,16,82113,90240611
2023,4314902,27,74901,90110910
2023,4314902,59,74901,91215060
2023,4314902,155,82113,90520080
2023,4314902,256,82202,90020008
2023,4314902,59,82113,90480002
2023,4314902,15,85996,90020121
2023,4314902,16,85996,91310002
2023,4314902,52,85996,90510040
2023,4314902,13,85996,91140001
2023,4314902,41,85937,90460110
2023,4314902,22,85996,90020008
2023,4314902,13,85996,90020170
2023,4314902,14,85996,90560003
2023,4314902,17,85996,91320001
2023,4314902,14,85996,90880500
2023,4314902,15,86305,90440051
2023,4314902,23,86305,91150080
2023,4314902,74,87115,90870220
2023,4314902,37,86305,91330001
2023,4314902,108,86305,90110180
2023,4314902,29,86305,91170550
2023,4314902,24,86305,91140310
2023,4314902,34,86305,90020100
2023,4314902,13,86305,91010001
2023,4314902,12,86500,90630000
2023,4314902,15,86500,90110290
2023,4314902,13,94910,90240040
2023,4314902,94,94910,90030131
2023,4314902,97,94308,91530350
2023,4314902,24,94308,90150053
2023,4314902,79,94308,90160093
2023,4314902,13,94308,90240300
2023,4314902,30,94308,90240511
2023,4314902,68,94308,91130540
2023,4314902,37,94308,90130101
2023,4314902,47,94308,90840610
2023,4314902,14,94308,90110000
2023,4314902,27,94308,90880310
2023,4314902,18,94308,91560000
2023,4314902,25,94936,90510000
2023,4314902,17,94308,91040030
2023,4314902,59,94308,90020008
2023,4314902,18,94308,90030100
2023,4314902,19,94308,91120630
2023,4314902,127,94308,91215320
2023,4314902,27,94308,90820170
2023,4314902,40,93115,90250590
2023,4314902,13,93131,90450150
2023,4314902,179,93123,90570140
2023,4314902,23,93131,91900000
2023,4314902,19,93123,90690030
2023,4314902,12,93131,90880481
2023,4314902,0,52117,91150170
2023,4314902,0,77110,91780118
2023,4314902,0,47822,90230002
2023,4314902,0,59111,90035120
2023,4314902,0,63119,90520310
2023,4314902,0,18130,90550001
2023,4314902,0,75001,91340490
2023,4314902,0,59120,91060340
